timestamp,EAR,eye_closure_duration,yaw,pitch,roll,abs_yaw,abs_pitch,head_movement,phone_detected,phone_confidence,driver_state
2026-09-13T20:14:40.115129,0.2428,0.254,3.765,-16.043,-3.643,3.765,16.043,6.838,0,0.0,Alert
2026-09-13T20:14:41.397954,0.2762,0.0,-0.001,-4.132,-1.121,0.001,4.132,2.583,0,0.0,Alert
2026-09-13T20:14:42.694694,0.252,0.0,0.943,-6.065,-2.785,0.943,6.065,2.205,0,0.0,Alert
2026-09-13T20:14:43.981731,0.2505,0.0,1.362,-2.146,-2.775,1.362,2.146,0.762,0,0.0,Alert
2026-09-13T20:14:45.249846,0.2717,0.0,3.747,-2.285,-4.281,3.747,2.285,2.78,0,0.0,Alert
2026-09-13T20:14:46.557667,0.2811,0.0,5.462,-1.944,-5.312,5.462,1.944,2.911,0,0.0,Alert
2026-09-13T20:14:47.849477,0.2651,0.0,-3.592,0.551,4.735,3.592,0.551,3.522,0,0.0,Alert
2026-09-13T20:14:49.185627,0.28,0.0,9.93,-3.753,-7.054,9.93,3.753,5.89,0,0.0,Alert
2026-09-13T20:14:50.498370,0.1981,0.0,4.061,-2.114,-2.804,4.061,2.114,8.372,0,0.0,Alert
2026-09-13T20:14:51.775071,0.2745,0.0,-4.735,-1.403,4.746,4.735,1.403,2.882,0,0.0,Alert
2026-09-13T20:14:53.088549,0.2649,0.0,-4.028,0.178,1.254,4.028,0.178,2.829,0,0.0,Alert
2026-09-13T20:14:54.417123,0.2857,0.0,-3.197,-1.023,0.657,3.197,1.023,2.184,0,0.0,Alert
2026-09-13T20:14:55.721512,0.2614,0.0,-2.0,-1.05,0.05,2.0,1.05,1.72,0,0.0,Alert
2026-09-13T20:14:57.001801,0.2572,0.0,-2.81,-1.014,0.088,2.81,1.014,0.861,0,0.0,Alert
2026-09-13T20:14:58.295332,0.2753,0.0,-1.972,-0.223,0.433,1.972,0.223,0.7,0,0.0,Alert
2026-09-13T20:14:59.584979,0.2544,0.0,-0.991,1.102,-0.691,0.991,1.102,1.035,0,0.0,Alert
2026-09-13T20:15:00.903284,0.2287,0.0,0.068,-11.886,-2.002,0.068,11.886,4.4,0,0.0,Alert
2026-09-13T20:15:02.249097,0.2419,0.0,-1.332,-7.989,-1.512,1.332,7.989,2.523,0,0.0,Alert
2026-09-13T20:15:03.626303,0.2805,0.0,-1.465,-1.49,-1.216,1.465,1.49,0.788,0,0.0,Alert
2026-09-13T20:15:04.946664,0.275,0.0,-1.018,-5.49,-0.732,1.018,5.49,1.69,0,0.0,Alert
2026-09-13T20:15:06.233034,0.2754,0.0,-2.41,-7.037,-0.415,2.41,7.037,1.458,0,0.0,Alert
2026-09-13T20:15:07.552015,0.2628,0.0,-1.839,-5.858,-0.827,1.839,5.858,0.578,0,0.0,Alert
2026-09-13T20:15:08.876339,0.2574,0.0,-2.298,-0.739,-1.034,2.298,0.739,0.425,0,0.0,Alert
2026-09-13T20:15:10.167211,0.2782,0.0,-2.674,-1.023,-1.146,2.674,1.023,0.709,0,0.0,Alert
2026-09-13T20:15:11.470804,0.2014,0.78,-4.229,-3.104,-0.269,4.229,3.104,2.14,0,0.0,Drowsy
2026-09-13T20:15:12.853316,0.2072,0.0,-2.401,-3.367,-0.641,2.401,3.367,2.689,0,0.0,Drowsy
